week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.2,36.4,33.8,6.7,10.0,85.7,101.0
2,7.8,14.4,26.0,7.3,4.0,55.2,59.5
3,13.6,12.5,25.4,16.7,2.0,70.2,70.2
4,20.5,19.2,41.8,10.5,7.0,119.1,99.0
5,12.4,18.8,33.8,12.8,0.0,73.5,77.8
6,11.9,16.7,12.2,13.6,0.0,105.1,54.4
7,5.3,27.7,6.4,5.3,13.5,78.5,58.2
8,24.3,12.4,30.5,20.0,10.0,83.4,97.2
9,9.6,25.2,19.0,4.4,6.0,68.3,64.2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,16.2,31.7,25.8,5.7,9.0,75.1,88.4
12,9.0,8.2,10.1,17.2,5.0,83.5,49.5
13,25.2,23.9,26.6,16.6,4.5,86.3,96.8
14,23.5,33.2,37.6,7.9,11.0,70.7,113.2
15,5.1,15.0,21.0,4.0,9.0,80.6,54.1
16,4.9,11.0,2.0,8.6,0.0,86.7,26.5
17,32.4,27.4,64.9,15.0,22.0,134.8,161.7
