week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,26.1,10.8,37.7,1.5,7.7,110.7,83.8
2,7.4,12.1,20.3,4.7,11.0,85.0,55.5
3,21.2,26.1,32.3,6.7,12.0,71.6,98.4
4,12.8,16.5,34.8,3.4,11.0,105.6,78.5
5,14.6,20.8,15.5,4.4,8.0,100.7,63.3
6,21.0,9.7,34.4,12.1,3.0,113.8,80.2
7,16.8,18.8,31.4,11.5,0.0,58.2,78.5
8,10.5,20.1,26.8,0.9,9.0,92.1,67.3
9,0.0,9.4,30.6,4.3,0.0,68.4,44.3
10,7.8,27.4,24.8,17.1,12.0,78.0,89.1
11,13.2,6.6,36.7,17.9,6.0,99.8,80.4
12,17.0,21.4,45.6,15.0,18.0,83.2,117.0
13,21.2,12.8,38.6,11.0,6.0,88.4,89.6
14,0.0,0.0,0.0,0.0,0.0,3.7,0.0
15,10.7,14.5,16.7,18.1,5.0,68.3,65.0
16,23.7,24.4,19.1,8.5,10.0,78.1,85.7
17,80.6,62.4,27.9,39.9,15.5,126.0,226.3
