week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,18.7,29.2,41.9,3.9,17.0,83.8,110.7
2,13.0,16.3,22.2,3.7,0.0,59.5,55.2
3,17.3,17.2,35.9,20.7,6.0,62.5,97.1
4,30.6,16.5,18.1,19.8,8.0,90.8,93.0
5,21.2,36.9,36.3,15.3,14.0,129.3,123.7
6,8.3,19.2,20.6,2.3,6.0,76.0,56.4
7,3.4,18.2,5.9,20.6,4.0,54.5,52.1
8,12.4,24.3,31.3,13.1,11.0,67.3,92.1
9,19.0,10.2,41.5,20.0,2.0,48.9,92.7
10,18.2,20.3,52.3,8.4,13.0,94.9,112.2
11,0.0,29.7,16.6,10.8,0.0,97.7,57.1
12,8.8,39.8,26.0,6.8,8.0,54.5,89.4
13,19.4,22.1,17.6,22.2,10.0,67.7,91.3
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13.5,10.5,19.6,18.8,8.0,57.5,70.4
16,14.4,30.7,32.8,16.3,0.0,98.0,94.1
17,41.1,21.1,88.1,5.7,18.0,172.8,174.1
