week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,18.6,25.8,36.2,3.8,10.0,62.9,94.4
2,15.8,12.5,24.7,1.5,13.0,62.7,67.5
3,30.9,37.6,32.1,12.8,9.0,64.0,122.4
4,23.5,21.1,46.9,8.1,6.0,78.5,105.6
5,27.2,23.1,54.1,15.0,10.0,123.7,129.3
6,28.6,23.7,27.6,22.2,5.0,73.5,107.1
7,20.8,18.5,21.2,18.4,5.0,89.6,83.9
8,14.3,29.1,24.7,15.3,0.0,97.2,83.4
9,29.9,34.4,26.1,5.5,5.0,54.2,100.9
10,6.4,12.9,13.7,19.9,0.0,32.1,52.9
11,36.4,44.8,63.1,9.7,12.0,39.4,166.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.4,22.7,21.3,17.0,13.0,89.6,88.4
14,5.0,16.2,27.8,7.3,7.0,59.5,63.3
15,0.0,17.2,19.9,1.7,0.0,95.1,38.8
16,11.5,30.6,25.7,15.4,8.0,67.5,91.2
17,22.8,20.4,51.1,31.3,0.0,140.5,125.6
