week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,25.1,19.1,15.5,24.0,8.0,88.4,91.7
2,16.1,8.3,24.4,20.1,13.0,64.5,82.0
3,7.1,16.4,31.6,6.9,7.0,85.4,69.0
4,9.0,7.7,23.6,4.5,6.0,76.8,50.8
5,14.4,11.1,21.4,13.9,0.0,98.5,60.8
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17.2,9.3,15.9,12.2,0.0,71.9,54.6
8,15.0,8.5,38.6,8.3,10.0,88.2,80.4
9,18.0,18.1,21.2,17.7,7.0,89.0,82.0
10,15.1,8.2,37.6,7.0,1.0,69.3,68.9
11,24.0,20.1,46.2,7.0,3.0,72.4,100.3
12,14.5,15.2,39.8,8.9,13.0,83.7,91.4
13,19.4,15.3,43.7,26.2,5.0,60.7,109.6
14,14.9,3.4,25.6,11.8,5.0,49.8,60.7
15,0.3,21.0,25.5,4.5,0.0,70.7,51.3
16,16.1,9.8,35.2,13.0,4.0,85.7,78.1
17,28.2,38.8,16.4,32.6,11.0,138.3,127.0
