week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.8,17.8,21.6,10.1,4.0,71.0,64.2
2,2.0,13.6,21.3,7.6,3.0,70.2,47.5
3,18.4,18.0,29.8,6.6,8.0,47.6,80.8
4,13.0,16.9,23.5,18.4,5.0,50.8,76.8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.7,7.9,35.0,3.1,5.0,84.7,71.7
7,20.4,20.6,13.6,9.8,0.0,82.8,64.4
8,12.1,16.8,21.2,18.0,8.0,88.9,76.1
9,9.1,6.0,33.1,11.6,4.0,90.4,63.8
10,17.1,14.9,38.4,1.9,6.5,70.2,78.8
11,29.0,16.8,55.7,4.8,9.0,107.9,115.3
12,22.6,27.2,22.0,14.2,8.5,66.2,94.5
13,0.1,26.7,27.6,1.0,7.0,47.6,62.4
14,14.1,12.9,11.2,11.6,0.0,60.7,49.8
15,28.0,27.1,54.1,4.9,18.0,63.3,132.1
16,18.9,31.8,29.1,7.4,12.0,86.4,99.2
17,28.6,16.5,45.7,10.5,16.0,236.7,117.3
