week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.4,31.2,28.0,7.2,8.0,95.4,85.8
2,28.5,25.2,33.2,25.0,0.0,54.5,111.9
3,25.8,12.8,51.5,5.1,6.0,79.7,101.2
4,9.5,36.7,14.6,4.9,7.0,72.4,72.7
5,14.0,17.9,18.8,22.8,0.0,77.8,73.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.1,17.0,16.6,18.7,16.0,53.1,70.4
8,18.2,10.5,30.3,11.5,8.0,105.8,78.5
9,20.5,17.4,46.7,8.3,0.0,89.6,92.9
10,9.7,12.4,27.3,7.1,15.0,79.6,71.5
11,18.0,12.6,29.2,14.8,8.0,103.0,82.6
12,15.1,52.4,20.8,3.9,13.0,76.7,105.2
13,14.6,13.9,7.9,14.9,10.5,77.2,61.8
14,51.9,16.7,45.0,1.0,6.0,118.5,120.6
15,4.0,14.3,10.8,9.3,9.0,63.9,47.4
16,0.0,16.1,18.4,11.2,0.0,57.1,45.7
17,44.6,31.1,67.5,43.6,0.0,167.9,186.8
