week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.4,21.4,21.1,6.1,12.0,64.2,71.0
2,16.4,20.3,27.4,13.1,13.0,89.0,90.2
3,24.6,35.4,34.5,4.4,13.0,91.9,111.9
4,11.0,13.2,19.6,10.3,3.0,67.5,57.1
5,24.1,24.6,15.4,4.7,13.0,76.3,81.8
6,21.4,25.9,11.4,4.9,17.0,68.5,80.6
7,4.0,23.7,20.2,5.2,0.0,70.4,53.1
8,18.2,19.9,17.8,22.3,10.0,80.4,88.2
9,29.1,24.2,16.7,41.2,12.0,77.5,123.2
10,0.0,0.0,0.0,0.0,0.0,6.1,0.0
11,21.5,19.6,23.6,29.7,11.0,99.3,105.4
12,19.4,8.9,49.4,2.3,22.0,83.6,102.0
13,15.6,10.5,16.5,18.1,0.0,109.6,60.7
14,19.0,30.9,41.3,9.1,4.0,77.3,104.3
15,5.3,18.3,17.7,8.0,9.0,81.2,58.3
16,13.9,15.6,32.1,3.9,2.0,91.2,67.5
17,26.0,7.9,13.0,39.0,18.0,188.8,103.9
