week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.3,18.2,23.9,2.5,7.0,94.4,62.9
2,8.8,35.0,8.9,5.3,8.0,67.0,66.0
3,10.4,27.4,25.8,13.2,8.0,39.7,84.7
4,3.4,28.7,13.5,2.0,24.0,32.2,71.6
5,7.4,23.3,17.8,5.6,3.0,70.0,57.1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.7,16.5,16.3,1.0,12.0,52.1,54.5
8,21.2,15.5,33.9,19.2,0.0,86.2,89.8
9,22.1,27.7,26.6,12.9,11.0,89.7,100.3
10,7.3,10.7,36.7,5.9,19.0,71.5,79.6
11,18.0,18.5,30.0,25.8,7.0,105.4,99.3
12,13.5,12.3,18.6,20.8,1.0,118.4,66.2
13,19.0,25.6,30.9,10.8,0.0,96.8,86.3
14,0.0,24.9,24.1,6.0,0.0,110.2,55.0
15,11.5,20.0,25.5,2.3,9.0,65.0,68.3
16,21.1,14.2,35.9,22.8,5.0,95.2,99.0
17,4.6,11.1,50.7,24.8,7.0,123.8,98.2
