week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.7,10.4,20.0,3.1,8.0,78.1,58.2
2,15.5,19.3,25.9,23.7,5.0,87.8,89.4
3,13.0,16.3,39.2,2.1,1.0,98.4,71.6
4,28.2,12.5,61.3,17.1,0.0,99.0,119.1
5,0.0,8.5,42.5,8.5,5.0,61.7,64.5
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.8,38.0,36.2,3.0,15.0,94.4,108.0
8,24.8,22.4,49.6,5.0,4.0,78.5,105.8
9,3.1,10.7,22.4,2.7,10.0,92.7,48.9
10,5.2,5.2,7.6,13.1,1.0,52.9,32.1
11,15.6,5.7,42.1,5.1,8.0,66.3,76.5
12,26.9,16.9,49.4,9.9,9.0,96.1,112.1
13,14.2,13.6,28.3,20.3,0.0,64.6,76.4
14,9.8,31.4,40.3,4.1,7.0,132.1,92.6
15,10.1,14.7,34.1,1.9,6.0,86.8,66.8
16,21.4,15.6,35.8,18.5,7.0,97.2,98.3
17,20.5,50.4,48.7,15.2,0.0,161.7,134.8
