week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,7.1,17.5,14.8,4.1,6.0,56.8,49.5
2,17.9,15.4,46.7,1.9,12.0,81.3,93.9
3,0.0,23.2,34.4,14.3,6.0,46.9,77.9
4,10.2,26.6,24.8,12.5,13.0,60.0,87.2
5,0.0,28.9,18.0,10.1,13.0,57.1,70.0
6,17.4,47.7,32.0,4.7,12.0,80.2,113.8
7,15.0,32.3,30.3,6.0,6.0,83.9,89.6
8,0.0,18.1,28.0,17.1,1.0,74.5,64.2
9,16.5,19.1,49.7,17.3,8.0,70.8,110.6
10,6.3,14.5,15.9,2.3,3.0,69.7,42.0
11,27.8,11.9,52.9,8.4,2.0,82.6,103.0
12,28.5,20.6,34.0,23.3,12.0,66.2,118.4
13,21.2,16.8,18.3,6.4,5.0,91.3,67.7
14,0.0,0.0,0.0,0.0,0.0,0.9,0.0
15,21.4,33.0,13.0,16.0,0.0,70.1,83.4
16,11.2,32.6,9.4,6.7,8.0,80.5,67.9
17,53.3,42.1,87.4,20.4,33.5,117.3,236.7
