week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,9.6,4.3,36.2,6.5,5.0,107.9,61.7
2,11.8,10.1,36.4,7.3,17.0,104.9,82.6
3,12.4,33.8,19.5,21.5,1.0,51.5,88.2
4,5.5,20.5,31.2,0.0,20.0,80.2,77.2
5,13.4,21.1,33.1,16.9,14.0,60.8,98.5
6,25.9,51.7,45.7,12.5,9.0,81.9,144.8
7,14.1,29.6,15.0,6.2,18.0,64.4,82.9
8,24.1,16.4,34.3,8.1,6.0,76.1,88.9
9,9.7,21.7,33.0,10.7,6.0,88.9,81.2
10,6.2,34.4,33.4,7.5,4.0,57.0,85.5
11,26.6,11.4,53.1,17.0,0.0,90.7,108.1
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15.6,22.0,34.8,1.8,3.0,61.8,77.2
14,15.0,17.6,23.4,7.0,3.0,55.5,66.0
15,0.0,0.0,0.0,0.0,0.0,62.9,0.0
16,12.6,40.4,25.7,8.0,0.0,26.5,86.7
17,33.4,27.1,76.2,30.1,22.0,103.9,188.8
