week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,14.6,23.7,27.5,8.2,4.0,58.2,78.1
2,0.0,0.0,0.0,0.0,0.0,70.4,0.0
3,16.5,9.0,34.4,4.9,1.0,79.4,65.8
4,16.7,19.4,26.1,6.4,11.0,63.6,79.6
5,22.6,17.1,20.2,9.0,10.0,83.0,78.8
6,19.8,11.4,25.5,2.0,5.0,63.1,63.7
7,22.8,34.4,17.7,1.0,4.0,40.0,79.9
8,13.8,21.5,36.5,7.8,14.0,68.2,93.6
9,0.0,0.0,0.0,0.0,0.0,69.1,0.0
10,12.0,23.4,27.5,8.6,10.0,70.7,81.5
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,17.5,38.8,22.7,7.2,3.0,50.0,89.2
13,10.8,20.2,26.1,7.3,9.0,66.5,73.4
14,11.0,19.6,5.4,17.5,2.0,66.0,55.5
15,37.6,25.2,44.3,12.1,5.0,53.9,124.2
16,6.4,26.9,27.0,1.2,0.0,49.9,61.5
17,29.9,53.6,56.7,7.6,25.0,174.1,172.8
