week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,10.3,27.3,28.9,6.0,26.0,66.8,98.5
2,11.5,18.3,29.2,5.4,6.0,71.4,70.4
3,6.0,6.0,26.6,4.3,4.0,77.9,46.9
4,6.7,16.1,14.3,4.5,5.0,48.3,46.6
5,6.5,18.3,16.8,4.1,16.0,64.5,61.7
6,22.4,20.1,20.2,17.3,2.0,80.8,82.0
7,24.9,23.6,32.2,13.8,14.0,58.0,108.5
8,18.9,22.0,18.6,10.0,5.0,64.2,74.5
9,11.5,25.2,21.1,3.6,7.0,44.3,68.4
10,27.7,32.7,18.2,11.4,0.0,38.1,90.0
11,28.3,7.9,39.6,4.9,17.0,57.1,97.7
12,0.0,0.0,0.0,0.0,0.0,4.9,0.0
13,12.4,15.3,19.8,13.1,9.5,49.3,70.1
14,23.5,19.8,39.5,14.4,13.0,55.0,110.2
15,18.7,12.7,35.9,12.8,15.0,38.8,95.1
16,6.0,20.8,17.7,7.6,5.0,45.7,57.1
17,39.0,44.5,54.4,8.4,10.0,131.0,156.3
