week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,16.4,15.2,49.4,4.7,0.0,101.0,85.7
2,15.5,22.2,38.2,3.5,10.0,81.7,89.4
3,8.0,14.8,22.0,0.7,6.0,88.2,51.5
4,27.9,23.6,46.0,8.8,8.0,57.0,114.3
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.4,15.9,11.0,5.6,12.0,89.1,53.0
7,15.5,8.7,13.6,2.2,0.0,79.9,40.0
8,12.9,15.3,20.5,13.0,5.0,100.5,66.7
9,19.6,6.8,15.3,11.5,1.0,100.9,54.2
10,2.0,7.7,12.2,2.4,7.0,94.7,31.3
11,0.0,0.0,0.0,0.0,0.0,84.8,0.0
12,17.2,9.7,46.3,1.5,2.0,105.2,76.7
13,22.1,16.7,10.0,28.2,6.0,65.2,83.0
14,12.5,18.7,27.8,6.8,1.0,73.1,66.8
15,9.0,5.9,12.3,8.7,8.0,100.2,43.9
16,0.0,0.0,0.0,0.0,0.0,91.7,0.0
17,18.6,33.5,48.1,7.6,15.0,184.4,122.8
