week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.2,15.7,13.2,11.0,4.0,70.5,50.1
2,8.3,15.5,11.6,5.9,6.0,57.9,47.3
3,9.0,6.9,20.3,7.4,4.0,80.8,47.6
4,18.3,19.1,34.9,9.5,9.0,93.0,90.8
5,17.4,19.3,35.0,15.8,9.0,61.4,96.5
6,11.7,17.9,22.4,15.5,1.0,80.6,68.5
7,0.0,26.9,22.4,8.7,0.0,108.5,58.0
8,6.7,27.6,28.9,5.0,0.0,93.6,68.2
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,80.1,0.0
11,14.9,19.1,16.8,11.3,6.0,74.4,68.1
12,15.0,21.7,18.4,11.1,4.0,84.1,70.2
13,19.3,17.5,45.5,19.4,8.0,133.5,109.7
14,14.3,14.4,41.2,15.6,1.0,76.0,86.5
15,28.1,15.9,43.5,2.7,10.0,43.9,100.2
16,18.5,23.1,20.7,22.2,12.0,71.2,96.5
17,37.9,27.8,46.8,23.8,2.0,127.0,138.3
