week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,11.0,7.5,15.2,5.6,11.0,74.3,50.3
2,10.6,25.0,21.8,15.9,8.0,93.9,81.3
3,4.0,12.9,10.1,9.7,3.0,84.7,39.7
4,26.7,34.3,40.5,9.6,14.9,109.6,125.9
5,22.1,18.4,35.2,7.3,0.0,78.8,83.0
6,24.1,31.5,28.1,20.3,0.0,71.8,104.0
7,7.7,33.0,26.2,11.5,2.0,86.1,80.4
8,19.3,30.7,31.9,17.1,7.0,55.5,106.0
9,16.9,9.4,53.5,1.9,8.0,92.9,89.6
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,18.4,16.1,24.2,2.7,5.0,73.1,66.4
12,11.2,10.6,13.6,21.8,0.0,62.8,57.2
13,0.0,29.4,13.9,6.0,0.0,70.1,49.3
14,21.2,28.6,22.4,13.4,0.0,98.1,85.6
15,17.6,24.0,34.6,4.4,0.0,54.1,80.6
16,21.9,13.7,45.9,3.7,12.0,98.3,97.2
17,17.1,41.6,41.6,2.8,12.0,147.8,115.1
