week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.1,18.0,40.6,1.1,1.0,98.5,66.8
2,17.1,18.5,39.0,2.2,11.0,89.4,87.8
3,12.8,31.5,22.8,3.6,9.0,101.2,79.7
4,4.0,17.1,17.3,10.5,11.0,87.2,60.0
5,22.1,14.1,16.1,16.0,0.0,74.0,68.3
6,12.5,20.9,17.7,14.7,6.0,104.0,71.8
7,12.1,26.3,17.2,12.3,4.0,54.6,71.9
8,13.6,0.6,44.7,4.3,6.0,87.7,69.2
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4.7,34.7,6.6,6.0,8.0,100.4,60.0
11,14.2,14.4,29.5,3.1,12.0,66.4,73.1
12,14.7,35.8,23.4,9.6,0.0,49.5,83.5
13,28.4,36.5,24.5,9.1,6.5,43.1,105.0
14,14.3,10.2,31.7,0.0,1.0,113.4,57.2
15,8.2,15.2,21.1,6.4,13.0,47.4,63.9
16,11.5,35.2,15.8,11.7,21.0,99.0,95.2
17,35.7,82.9,65.3,25.2,19.0,213.0,228.1
