week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,0.0,0.0,0.0,0.0,0.0,118.9,0.0
2,8.8,31.3,38.7,2.3,10.0,64.8,91.1
3,19.3,19.0,20.5,9.7,16.0,54.1,84.5
4,14.3,13.5,13.8,13.4,2.0,114.3,57.0
5,34.4,14.7,76.3,12.3,17.6,93.7,155.3
6,11.2,15.7,32.3,12.7,10.0,144.8,81.9
7,44.4,37.0,29.1,22.7,13.0,122.8,146.2
8,26.6,26.4,29.7,24.9,7.0,107.6,114.6
9,24.5,32.1,9.0,16.4,7.0,82.0,89.0
10,21.8,14.2,39.2,13.2,12.0,60.0,100.4
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10.9,16.6,14.6,6.9,1.0,89.2,50.0
13,23.6,7.9,39.4,10.2,11.0,95.5,92.1
14,6.8,10.2,34.8,18.5,7.0,104.3,77.3
15,14.0,3.2,33.4,6.7,6.0,132.1,63.3
16,15.3,6.6,37.2,10.8,21.0,98.8,90.9
17,50.4,34.0,74.1,18.9,10.0,244.0,187.3
