week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,6.2,16.7,13.5,0.9,13.0,64.3,50.3
2,0.0,39.5,24.4,1.5,6.0,70.4,71.4
3,25.4,21.1,18.9,4.8,0.0,70.2,70.2
4,0.0,7.6,13.1,2.5,9.0,71.6,32.2
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13.7,12.9,31.9,9.5,8.0,56.4,76.0
7,21.0,27.3,24.5,6.3,10.0,62.0,89.1
8,12.7,39.5,24.7,22.6,26.0,83.6,125.6
9,13.7,22.7,16.4,11.0,7.0,110.6,70.8
10,19.8,13.4,22.5,5.5,9.0,78.8,70.2
11,23.4,5.3,28.6,9.0,0.0,76.5,66.3
12,15.7,10.6,30.3,17.6,9.0,117.0,83.2
13,0.0,0.0,0.0,0.0,0.0,79.6,0.0
14,5.1,23.2,16.6,10.6,4.0,63.3,59.5
15,16.8,24.8,35.2,10.1,0.0,99.5,86.9
16,20.2,44.5,22.1,2.6,8.6,94.1,98.0
17,29.9,19.2,56.0,10.4,25.0,125.6,140.5
