week,pts_allowed_to_QB,pts_allowed_to_RB,pts_allowed_to_WR,pts_allowed_to_TE,pts_allowed_to_K,points_scored,points_allowed
1,29.7,22.2,51.0,1.0,15.0,0.0,118.9
2,17.4,14.2,37.3,1.5,0.0,0.0,70.4
3,25.4,26.1,45.9,10.9,9.0,0.0,117.3
4,10.0,24.7,22.6,2.2,0.0,0.0,59.5
5,8.7,13.1,12.7,11.6,9.0,0.0,55.1
6,21.4,26.1,30.0,19.3,13.0,0.0,109.8
7,0.0,14.5,25.2,11.6,1.0,0.0,52.2
8,9.3,25.5,17.4,3.9,1.0,0.0,57.1
9,14.7,10.7,20.4,19.3,4.0,0.0,69.1
10,18.1,21.2,23.5,13.3,4.0,0.0,80.1
11,18.7,38.2,15.2,7.7,5.0,0.0,84.8
12,16.9,11.4,32.9,17.9,11.0,0.0,90.1
13,14.9,7.1,41.9,6.7,9.0,0.0,79.6
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10.1,22.6,6.1,14.1,10.0,0.0,62.9
16,11.6,31.8,29.3,0.0,19.0,0.0,91.7
17,33.8,61.7,59.4,18.1,0.0,0.0,173.0
