team,offensive_rank,defensive_rank,def_vs_qb_rank,def_vs_rb_rank,def_vs_wr_rank,def_vs_te_rank,def_vs_k_rank
ARI,20,21,22,28,21,12,19
ATL,28,8,27,9,15,25,32
BAL,15,31,31,10,32,30,21
BUF,4,26,24,32,22,17,16
CAR,24,22,26,31,20,32,28
CHI,10,1,6,23,3,5,27
CIN,26,9,29,12,23,29,20
CLE,30,13,18,5,18,13,11
DAL,2,23,23,19,27,18,4
DEN,17,27,28,20,16,22,23
DET,3,3,1,8,17,1,13
GB,7,29,8,25,7,14,5
HOU,21,7,12,11,19,4,17
IND,1,4,9,22,30,28,18
JAX,22,2,30,30,31,26,15
KC,6,18,14,1,6,27,7
LAC,16,15,10,3,11,21,1
LAR,11,5,19,6,25,19,8
LV,31,19,20,15,1,23,25
MIA,25,24,13,17,2,11,29
MIN,18,14,16,2,28,7,6
NE,8,11,4,21,5,15,31
NO,29,12,17,29,26,24,30
NYG,19,28,25,26,10,3,26
NYJ,27,32,15,13,14,10,24
PHI,14,20,7,4,12,2,3
PIT,12,6,3,7,8,9,9
SEA,5,16,5,18,13,16,2
SF,23,25,2,27,4,6,12
TB,13,17,32,24,29,31,22
TEN,32,10,21,16,9,8,14
WSH,9,30,11,14,24,20,10
